frame_name, sperm_count, cluster_count, small_or_pinhead_count
11_frame_0,43,0,0
11_frame_1,43,0,0
11_frame_2,43,0,0
11_frame_3,43,0,0
11_frame_4,43,0,0
11_frame_5,43,0,0
11_frame_6,43,0,0
11_frame_7,43,0,0
11_frame_8,43,0,0
11_frame_9,43,0,0
11_frame_10,43,0,0
11_frame_11,43,0,0
11_frame_12,43,0,0
11_frame_13,43,0,0
11_frame_14,43,0,0
11_frame_15,43,0,0
11_frame_16,43,0,0
11_frame_17,43,0,0
11_frame_18,43,0,0
11_frame_19,43,0,0
11_frame_20,43,0,0
11_frame_21,43,0,0
11_frame_22,43,0,0
11_frame_23,43,0,0
11_frame_24,43,0,0
11_frame_25,42,0,0
11_frame_26,42,0,0
11_frame_27,42,0,0
11_frame_28,42,0,0
11_frame_29,42,0,0
11_frame_30,42,0,0
11_frame_31,42,0,0
11_frame_32,42,0,0
11_frame_33,42,0,0
11_frame_34,42,0,0
11_frame_35,42,0,0
11_frame_36,42,0,0
11_frame_37,42,0,0
11_frame_38,42,0,0
11_frame_39,41,0,0
11_frame_40,41,0,0
11_frame_41,41,0,0
11_frame_42,40,0,0
11_frame_43,40,0,0
11_frame_44,40,0,0
11_frame_45,40,0,0
11_frame_46,40,0,0
11_frame_47,40,0,0
11_frame_48,40,0,0
11_frame_49,40,0,0
11_frame_50,40,0,0
11_frame_51,40,0,0
11_frame_52,40,0,0
11_frame_53,40,0,0
11_frame_54,40,0,0
11_frame_55,40,0,0
11_frame_56,40,0,0
11_frame_57,40,0,0
11_frame_58,40,0,0
11_frame_59,40,0,0
11_frame_60,40,0,0
11_frame_61,40,0,0
11_frame_62,40,0,0
11_frame_63,40,0,0
11_frame_64,40,0,0
11_frame_65,40,0,0
11_frame_66,40,0,0
11_frame_67,40,0,0
11_frame_68,40,0,0
11_frame_69,40,0,0
11_frame_70,40,0,0
11_frame_71,40,0,0
11_frame_72,40,0,0
11_frame_73,40,0,0
11_frame_74,40,0,0
11_frame_75,40,0,0
11_frame_76,40,0,0
11_frame_77,40,0,0
11_frame_78,40,0,0
11_frame_79,40,0,0
11_frame_80,40,0,0
11_frame_81,40,0,0
11_frame_82,40,0,0
11_frame_83,40,0,0
11_frame_84,40,0,0
11_frame_85,40,0,0
11_frame_86,40,0,0
11_frame_87,40,0,0
11_frame_88,40,0,0
11_frame_89,40,0,0
11_frame_90,40,0,0
11_frame_91,40,0,0
11_frame_92,40,0,0
11_frame_93,40,0,0
11_frame_94,40,0,0
11_frame_95,40,0,0
11_frame_96,40,0,0
11_frame_97,40,0,0
11_frame_98,40,0,0
11_frame_99,40,0,0
11_frame_100,40,0,0
11_frame_101,40,0,0
11_frame_102,40,0,0
11_frame_103,40,0,0
11_frame_104,40,0,0
11_frame_105,40,0,0
11_frame_106,40,0,0
11_frame_107,40,0,0
11_frame_108,40,0,0
11_frame_109,40,0,0
11_frame_110,40,0,0
11_frame_111,40,0,0
11_frame_112,40,0,0
11_frame_113,40,2,0
11_frame_114,40,2,0
11_frame_115,40,2,0
11_frame_116,40,2,0
11_frame_117,40,2,0
11_frame_118,40,2,0
11_frame_119,40,2,0
11_frame_120,40,2,0
11_frame_121,40,2,0
11_frame_122,40,2,0
11_frame_123,40,2,0
11_frame_124,40,2,0
11_frame_125,40,2,0
11_frame_126,40,2,0
11_frame_127,40,2,0
11_frame_128,40,2,0
11_frame_129,40,2,0
11_frame_130,40,2,0
11_frame_131,40,2,0
11_frame_132,40,2,0
11_frame_133,40,2,0
11_frame_134,40,2,0
11_frame_135,40,2,0
11_frame_136,40,2,0
11_frame_137,40,2,0
11_frame_138,40,2,0
11_frame_139,40,2,0
11_frame_140,40,2,0
11_frame_141,40,2,0
11_frame_142,40,2,0
11_frame_143,40,2,0
11_frame_144,40,2,0
11_frame_145,40,2,0
11_frame_146,40,2,0
11_frame_147,40,2,0
11_frame_148,40,2,0
11_frame_149,40,2,0
11_frame_150,40,2,0
11_frame_151,40,2,0
11_frame_152,40,2,0
11_frame_153,40,2,0
11_frame_154,40,2,0
11_frame_155,40,2,0
11_frame_156,40,2,0
11_frame_157,39,2,0
11_frame_158,39,2,0
11_frame_159,39,2,0
11_frame_160,39,2,0
11_frame_161,39,2,0
11_frame_162,39,2,0
11_frame_163,39,2,0
11_frame_164,40,2,0
11_frame_165,40,2,0
11_frame_166,40,2,0
11_frame_167,39,2,0
11_frame_168,39,2,0
11_frame_169,39,2,0
11_frame_170,39,2,0
11_frame_171,39,2,0
11_frame_172,39,2,0
11_frame_173,39,2,0
11_frame_174,39,2,0
11_frame_175,39,2,0
11_frame_176,40,2,0
11_frame_177,40,2,0
11_frame_178,40,2,0
11_frame_179,40,2,0
11_frame_180,40,2,0
11_frame_181,39,2,0
11_frame_182,39,2,0
11_frame_183,38,2,0
11_frame_184,39,2,0
11_frame_185,39,2,0
11_frame_186,39,2,0
11_frame_187,39,2,0
11_frame_188,39,2,0
11_frame_189,39,2,0
11_frame_190,38,2,0
11_frame_191,38,2,0
11_frame_192,38,2,0
11_frame_193,38,2,0
11_frame_194,38,2,0
11_frame_195,38,2,0
11_frame_196,38,2,0
11_frame_197,38,2,0
11_frame_198,38,2,0
11_frame_199,38,2,0
11_frame_200,38,2,0
11_frame_201,38,2,0
11_frame_202,38,2,0
11_frame_203,38,2,0
11_frame_204,38,2,0
11_frame_205,38,2,0
11_frame_206,38,2,0
11_frame_207,38,2,0
11_frame_208,38,2,0
11_frame_209,38,2,0
11_frame_210,38,2,0
11_frame_211,38,2,0
11_frame_212,38,2,0
11_frame_213,38,2,0
11_frame_214,38,2,0
11_frame_215,38,2,0
11_frame_216,38,2,0
11_frame_217,38,2,0
11_frame_218,38,2,0
11_frame_219,38,2,0
11_frame_220,38,2,0
11_frame_221,38,2,0
11_frame_222,38,2,0
11_frame_223,38,2,0
11_frame_224,38,2,0
11_frame_225,38,2,0
11_frame_226,38,2,0
11_frame_227,38,2,0
11_frame_228,38,2,0
11_frame_229,38,2,0
11_frame_230,38,2,0
11_frame_231,38,2,0
11_frame_232,38,2,0
11_frame_233,38,2,0
11_frame_234,38,2,0
11_frame_235,38,2,0
11_frame_236,38,2,0
11_frame_237,38,2,0
11_frame_238,38,2,0
11_frame_239,38,2,0
11_frame_240,38,2,0
11_frame_241,38,2,0
11_frame_242,38,2,0
11_frame_243,37,2,0
11_frame_244,37,2,0
11_frame_245,37,2,0
11_frame_246,37,2,0
11_frame_247,37,2,0
11_frame_248,37,2,0
11_frame_249,37,2,0
11_frame_250,37,2,0
11_frame_251,37,2,0
11_frame_252,37,2,0
11_frame_253,37,2,0
11_frame_254,37,2,0
11_frame_255,37,2,0
11_frame_256,37,2,0
11_frame_257,37,2,0
11_frame_258,37,2,0
11_frame_259,37,2,0
11_frame_260,37,2,0
11_frame_261,37,2,0
11_frame_262,37,2,0
11_frame_263,37,2,0
11_frame_264,37,2,0
11_frame_265,37,2,0
11_frame_266,37,2,0
11_frame_267,37,2,0
11_frame_268,37,2,0
11_frame_269,37,2,0
11_frame_270,37,2,0
11_frame_271,37,2,0
11_frame_272,37,2,0
11_frame_273,37,2,0
11_frame_274,37,2,0
11_frame_275,37,2,0
11_frame_276,37,2,0
11_frame_277,37,2,0
11_frame_278,37,2,0
11_frame_279,37,2,0
11_frame_280,37,2,0
11_frame_281,37,2,0
11_frame_282,37,2,0
11_frame_283,37,2,0
11_frame_284,37,2,0
11_frame_285,37,2,0
11_frame_286,37,2,0
11_frame_287,37,2,0
11_frame_288,37,2,0
11_frame_289,37,2,0
11_frame_290,37,2,0
11_frame_291,37,2,0
11_frame_292,37,2,0
11_frame_293,37,2,0
11_frame_294,37,2,0
11_frame_295,37,2,0
11_frame_296,37,2,0
11_frame_297,37,2,0
11_frame_298,37,2,0
11_frame_299,37,2,0
11_frame_300,37,2,0
11_frame_301,37,2,0
11_frame_302,37,2,0
11_frame_303,37,2,0
11_frame_304,37,2,0
11_frame_305,37,2,0
11_frame_306,37,2,0
11_frame_307,37,2,0
11_frame_308,37,2,0
11_frame_309,36,2,0
11_frame_310,36,2,0
11_frame_311,36,2,0
11_frame_312,36,2,0
11_frame_313,36,2,0
11_frame_314,36,2,0
11_frame_315,36,2,0
11_frame_316,36,2,0
11_frame_317,36,2,0
11_frame_318,36,2,0
11_frame_319,36,2,0
11_frame_320,35,2,0
11_frame_321,35,2,0
11_frame_322,35,2,0
11_frame_323,35,2,0
11_frame_324,35,2,0
11_frame_325,35,2,0
11_frame_326,36,2,0
11_frame_327,36,2,0
11_frame_328,35,2,0
11_frame_329,35,2,0
11_frame_330,35,2,0
11_frame_331,35,2,0
11_frame_332,35,2,0
11_frame_333,35,2,0
11_frame_334,35,2,0
11_frame_335,35,2,0
11_frame_336,35,2,0
11_frame_337,35,2,0
11_frame_338,35,2,0
11_frame_339,35,2,0
11_frame_340,35,2,0
11_frame_341,35,2,0
11_frame_342,35,2,0
11_frame_343,35,2,0
11_frame_344,35,2,0
11_frame_345,35,2,0
11_frame_346,35,2,0
11_frame_347,35,2,0
11_frame_348,35,2,0
11_frame_349,35,2,0
11_frame_350,35,2,0
11_frame_351,35,2,0
11_frame_352,38,2,0
11_frame_353,38,2,0
11_frame_354,38,2,0
11_frame_355,38,2,0
11_frame_356,38,2,0
11_frame_357,38,2,0
11_frame_358,38,2,0
11_frame_359,39,2,0
11_frame_360,39,2,0
11_frame_361,39,2,0
11_frame_362,39,2,0
11_frame_363,39,2,0
11_frame_364,39,2,0
11_frame_365,39,2,0
11_frame_366,39,2,0
11_frame_367,39,2,0
11_frame_368,39,2,0
11_frame_369,39,2,0
11_frame_370,39,2,0
11_frame_371,39,2,0
11_frame_372,39,2,0
11_frame_373,39,2,0
11_frame_374,39,2,0
11_frame_375,39,2,0
11_frame_376,39,2,0
11_frame_377,39,2,0
11_frame_378,39,2,0
11_frame_379,39,2,0
11_frame_380,39,2,0
11_frame_381,39,2,0
11_frame_382,39,2,0
11_frame_383,39,2,0
11_frame_384,39,2,0
11_frame_385,39,2,0
11_frame_386,39,2,0
11_frame_387,39,2,0
11_frame_388,39,2,0
11_frame_389,39,2,0
11_frame_390,39,2,0
11_frame_391,39,2,0
11_frame_392,39,2,0
11_frame_393,39,2,0
11_frame_394,39,2,0
11_frame_395,39,2,0
11_frame_396,39,2,0
11_frame_397,39,2,0
11_frame_398,39,2,0
11_frame_399,39,2,0
11_frame_400,39,2,0
11_frame_401,39,2,0
11_frame_402,39,2,0
11_frame_403,39,2,0
11_frame_404,39,2,0
11_frame_405,39,2,0
11_frame_406,39,2,0
11_frame_407,39,2,0
11_frame_408,39,2,0
11_frame_409,39,2,0
11_frame_410,39,2,0
11_frame_411,39,2,0
11_frame_412,39,2,0
11_frame_413,39,2,0
11_frame_414,39,2,0
11_frame_415,39,2,0
11_frame_416,39,2,0
11_frame_417,40,2,0
11_frame_418,40,2,0
11_frame_419,40,2,0
11_frame_420,40,2,0
11_frame_421,40,2,0
11_frame_422,40,2,0
11_frame_423,40,2,0
11_frame_424,40,2,0
11_frame_425,40,2,0
11_frame_426,40,2,0
11_frame_427,40,2,0
11_frame_428,40,2,0
11_frame_429,40,2,0
11_frame_430,40,2,0
11_frame_431,40,2,0
11_frame_432,40,2,0
11_frame_433,40,2,0
11_frame_434,40,2,0
11_frame_435,40,2,0
11_frame_436,40,2,0
11_frame_437,39,2,0
11_frame_438,39,2,0
11_frame_439,39,2,0
11_frame_440,39,2,0
11_frame_441,39,2,0
11_frame_442,39,2,0
11_frame_443,39,2,0
11_frame_444,39,2,0
11_frame_445,39,2,0
11_frame_446,39,2,0
11_frame_447,39,2,0
11_frame_448,39,2,0
11_frame_449,39,2,0
11_frame_450,39,2,0
11_frame_451,39,2,0
11_frame_452,39,2,0
11_frame_453,39,2,0
11_frame_454,39,2,0
11_frame_455,39,2,0
11_frame_456,38,2,0
11_frame_457,38,2,0
11_frame_458,38,2,0
11_frame_459,38,2,0
11_frame_460,39,2,0
11_frame_461,39,2,0
11_frame_462,39,2,0
11_frame_463,39,2,0
11_frame_464,39,2,0
11_frame_465,39,2,0
11_frame_466,39,2,0
11_frame_467,39,2,0
11_frame_468,38,2,0
11_frame_469,38,2,0
11_frame_470,38,2,0
11_frame_471,38,2,0
11_frame_472,38,2,0
11_frame_473,38,2,0
11_frame_474,38,2,0
11_frame_475,38,2,0
11_frame_476,38,2,0
11_frame_477,38,2,0
11_frame_478,38,2,0
11_frame_479,38,2,0
11_frame_480,38,2,0
11_frame_481,38,2,0
11_frame_482,38,2,0
11_frame_483,38,2,0
11_frame_484,38,2,0
11_frame_485,38,2,0
11_frame_486,38,2,0
11_frame_487,38,2,0
11_frame_488,38,2,0
11_frame_489,38,2,0
11_frame_490,38,2,0
11_frame_491,38,2,0
11_frame_492,38,2,0
11_frame_493,38,2,0
11_frame_494,38,2,0
11_frame_495,38,2,0
11_frame_496,38,2,0
11_frame_497,38,2,0
11_frame_498,38,2,0
11_frame_499,38,2,0
11_frame_500,38,2,0
11_frame_501,38,2,0
11_frame_502,38,2,0
11_frame_503,38,2,0
11_frame_504,38,2,0
11_frame_505,38,2,0
11_frame_506,38,2,0
11_frame_507,38,2,0
11_frame_508,38,2,0
11_frame_509,38,2,0
11_frame_510,38,2,0
11_frame_511,38,2,0
11_frame_512,38,2,0
11_frame_513,38,2,0
11_frame_514,38,2,0
11_frame_515,38,2,0
11_frame_516,38,2,0
11_frame_517,38,2,0
11_frame_518,38,2,0
11_frame_519,38,2,0
11_frame_520,39,2,0
11_frame_521,39,2,0
11_frame_522,39,2,0
11_frame_523,39,2,0
11_frame_524,39,2,0
11_frame_525,39,2,0
11_frame_526,39,2,0
11_frame_527,39,2,0
11_frame_528,39,2,0
11_frame_529,39,2,0
11_frame_530,39,2,0
11_frame_531,39,2,0
11_frame_532,39,2,0
11_frame_533,39,2,0
11_frame_534,39,2,0
